Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
HERSHA HOSPITALITY TRUST (XNYS:HT),HT,Consumer Services,$10.68,-0.33,-3.00%,414848388,352481,$12.24,$2.29,2.87,0,"488,771"
"HEALTHCARE TRUST OF AMERICA, INC. (XNYS:HTA)",HTA,Consumer Services,$26.84,-0.2,-0.74%,5871139956,647347,$34.22,$20.61,0.58,114.11,"1,394,108"
J Hancock Tx-Adv Div Inc (XNYS:HTD),HTD,,$21.50,-0.015,-0.07%,760940604,43893,$26.17,$9.71,0.82,#FIELD!,"98,430"
HORIZON TECHNOLOGY FINANCE CORPORATION (XNYS:HTFA),HTFA,,$25.29,-0.0248,-0.10%,0,400,$26.66,$13.00,1.08,0,"1,974"
"HERCULES CAPITAL, INC. (XNYS:HTGC)",HTGC,,$16.36,0.12,0.74%,1888549124,402492,$16.51,$5.41,1.54,8.2,"686,188"
HILLTOP HOLDINGS INC. (XNYS:HTH),HTH,Finance,$34.04,-0.19,-0.56%,2797696983,210593,$34.43,$11.05,1.1,7.45,"721,989"
J Hancock Tx-Ad Gl Sh Yd (XNYS:HTY),HTY,,$5.99,0.08,1.35%,65371883,22911,$6.65,$3.75,#FIELD!,#FIELD!,"59,054"
HUBBELL INCORPORATED (XNYS:HUBB),HUBB,Capital Goods,$180.85,-1.28,-0.70%,9819611184,110414,$183.69,$85.62,1.2,0,"377,011"
"HUBSPOT, INC. (XNYS:HUBS)",HUBS,Technology,$524.76,-1.85,-0.35%,24079989570,229521,$547.47,$90.84,1.76,0,"574,149"
HUMANA INC. (XNYS:HUM),HUM,Health Care,$388.52,3.6,0.94%,50065436655,415131,$474.70,$208.25,0.86,15.22,"1,262,535"
HUNTSMAN CORPORATION (XNYS:HUN),HUN,Basic Industries,$27.79,0.05,0.18%,6141602672,1062973,$29.49,$12.23,1.42,24.23,"1,691,828"
HUYA Inc. (XNYS:HUYA),HUYA,Technology,$27.81,0.26,0.94%,6543623503,749274,$36.33,$11.78,#FIELD!,56.3,"4,291,722"
"HAVERTY FURNITURE COMPANIES, INC. (XNYS:HVT)",HVT,Consumer Services,$36.90,0.58,1.60%,672010217,200473,$38.94,$9.17,1.6,11.53,"183,258"
"HAVERTY FURNITURE COMPANIES, INC. (XNYS:HVT)",HVT,,$37.92,1.6901,4.67%,,102,$38.94,$9.17,1.6,11.53,"183,258"
HOWMET AEROSPACE INC. (XNYS:HWM),HWM,Capital Goods,$28.93,-0.02,-0.07%,12544472316,660370,$30.52,$8.72,1.99,59.61,"3,602,891"
HEXCEL CORPORATION (XNYS:HXL),HXL,Basic Industries,$55.22,-1.29,-2.28%,4619144275,345736,$70.27,$24.54,1.55,150.47,"977,956"
"HYSTER-YALE MATERIALS HANDLING, INC. (XNYS:HY)",HY,Capital Goods,$88.28,-0.48,-0.54%,1484175719,20144,$102.17,$30.25,1.22,40.21,"117,460"
New America High Income (XNYS:HYB),HYB,,$8.91,0.01,0.11%,208217059,16932,$9.09,$5.31,#FIELD!,#FIELD!,"52,481"
Western Asset Hi Yld D O (XNYS:HYI),HYI,,$15.40,0.0142,0.09%,348927374,32813,$15.54,$9.74,1.18,#FIELD!,"54,284"
Hyliion Holdings Corp. (XNYS:HYLN),HYLN,Capital Goods,$16.48,-0.2578,-1.54%,2790707114,2245277,$58.66,$9.50,#FIELD!,418.4,"10,824,456"
BlackRock Corp HY Fd (XNYS:HYT),HYT,,$11.64,0.045,0.39%,1418353692,148665,$11.81,$6.26,#FIELD!,#FIELD!,"390,813"
Horizon Acquisition Corp (XNYS:HZAC),HZAC,Finance,$10.18,-0.16,-1.55%,692220057,193818,$11.34,$9.29,#FIELD!,0,"385,183"
HORIZON GLOBAL CORPORATION (XNYS:HZN),HZN,Capital Goods,$10.14,0.09,0.90%,265863012,88559,$11.08,$1.20,1.86,0,"84,033"
"MARINEMAX, INC. (XNYS:HZO)",HZO,Consumer Services,$48.78,0.08,0.16%,1079783105,284657,$51.82,$7.25,1.78,12.22,"622,516"
Horizon Acquisition Corp II (XNYS:HZON),HZON,Finance,$10.14,-0.15,-1.46%,665437500,227036,$11.30,$9.91,#FIELD!,0,"321,791"
"IAA, INC. (XNYS:IAA)",IAA,Consumer Durables,$58.06,-1.67,-2.80%,7812115189,203735,$66.85,$21.79,#FIELD!,41.4,"941,875"
ION Acquisition Corp 1 Ltd. (XNYS:IACA),IACA,Finance,$11.15,-0.3,-2.62%,360632813,241677,$17.20,$9.96,#FIELD!,0,"989,147"
Voya Asia Pac Hi Div Eq (XNYS:IAE),IAE,,$9.49,0.04,0.42%,112920124,25292,$9.62,$5.20,15.85,#FIELD!,"41,530"
IAMGOLD CORPORATION (XNYS:IAG),IAG,Basic Industries,$3.06,0.165,5.71%,1452041500,5167412,$5.35,$1.44,1.08,38.66,"5,675,505"
Industrias Bachoco SAB de CV (XNYS:IBA),IBA,Consumer Non-Durables,$40.53,1.08,2.74%,2026500000,1018,$48.47,$28.04,0.79,10.62,"9,503"
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM),IBM,Technology,$121.76,1.0163,0.84%,1.09E+11,2101204,$136.10,$90.56,1.2,19.29,"6,755,208"
ICICI BANK LIMITED (XNYS:IBN),IBN,Finance,$16.85,-0.085,-0.50%,58218821230,3723666,$18.47,$6.86,1.14,28.47,"10,446,071"
"INSTALLED BUILDING PRODUCTS, INC. (XNYS:IBP)",IBP,Basic Industries,$113.62,-1.44,-1.25%,3365765033,107053,$130.11,$29.02,1.77,35.14,"237,332"
"INDEPENDENCE CONTRACT DRILLING, INC. (XNYS:ICD)",ICD,Energy,$5.57,-0.42,-7.01%,34399306,297891,$14.39,$1.08,7.19,0,"471,860"
"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)",ICE,Finance,$114.92,1.18,1.04%,64551324311,927480,$119.02,$63.51,0.74,30.22,"2,604,867"
ICL GROUP LTD (XNYS:ICL),ICL,Basic Industries,$5.89,0.04,0.68%,7543624256,45244,$6.08,$2.68,1.02,0,"173,181"
"IDACORP, INC. (XNYS:IDA)",IDA,Public Utilities,$86.30,-1.83,-2.08%,4355494894,130274,$107.75,$69.05,0.45,18.04,"342,516"
Voya Infr Indus & Matr (XNYS:IDE),IDE,,$12.20,0.3,2.52%,232698994,121774,$12.38,$6.43,#FIELD!,#FIELD!,"108,095"
IDT CORPORATION (XNYS:IDT),IDT,Public Utilities,$18.81,-0.1,-0.53%,479967754,51872,$21.45,$4.81,1.1,23.66,"154,092"
IDEX CORPORATION (XNYS:IEX),IEX,Capital Goods,$199.47,-0.44,-0.22%,15101032734,100004,$211.71,$104.56,1.08,40.44,"462,372"
INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF),IFF,Basic Industries,$138.34,-0.81,-0.58%,34408790255,1039918,$143.09,$92.14,0.98,42.78,"9,052,467"
INTERNATIONAL FLVRS AND FRGRNCS UNT (XNYS:IFFT),IFFT,Basic Industries,$49.31,-0.49,-0.98%,0,198863,$50.67,$31.38,#FIELD!,#FIELD!,"232,408"
India Fund (XNYS:IFN),IFN,,$21.05,0.1799,0.86%,566338613,39591,$21.53,$11.13,0.86,#FIELD!,"87,493"
Intercorp Financial Services Inc (XNYS:IFS),IFS,Finance,$33.91,-0.38,-1.11%,3913993930,11403,$39.90,$19.23,1.18,37.38,"55,713"
Voya Gl Adv & Prem Opp (XNYS:IGA),IGA,,$9.02,-0.03,-0.33%,164428439,22616,$9.87,$6.00,15.62,#FIELD!,"90,382"
Voya Gl Eq Div & Prem Op (XNYS:IGD),IGD,,$5.44,-0.03,-0.55%,525930523,138525,$5.80,$3.79,14.62,#FIELD!,"348,363"
Westn Asst IG Def Opp Tr (XNYS:IGI),IGI,,$21.69,0.14,0.65%,235160334,19658,$23.80,$15.05,1.45,#FIELD!,"26,659"
CBRE Clarion Glbl RE Inc (XNYS:IGR),IGR,,$7.31,-0.0401,-0.55%,852264852,155297,$7.86,$3.53,1.09,#FIELD!,"414,414"
INTERNATIONAL GAME TECHNOLOGY PLC (XNYS:IGT),IGT,Consumer Services,$18.39,-0.36,-1.92%,3767312212,2427414,$19.40,$3.59,2.36,0,"2,442,013"
Ihuman Inc (XNYS:IH),IH,Consumer Services,$18.02,-0.28,-1.53%,941986058,34388,$31.58,$12.12,#FIELD!,"1,194.59","122,292"
INDEPENDENCE HOLDING COMPANY (XNYS:IHC),IHC,Finance,$39.00,-0.38,-0.97%,570876150,344,$43.43,$22.00,0.85,141.54,"7,781"
Voya Em Mkts Hi Div Eqty (XNYS:IHD),IHD,,$8.06,0.01,0.12%,153456669,29089,$8.36,$4.56,0.87,#FIELD!,"95,115"
INTERCONTINENTAL HOTELS GROUP PLC (XNYS:IHG),IHG,Consumer Services,$71.15,0.45,0.64%,12995996599,48499,$75.20,$25.39,1.32,0,"112,713"
Invesco HI 2023 Tgt Term (XNYS:IHIT),IHIT,,$9.17,0.04,0.44%,220610503,93660,$10.74,$6.67,-1.47,#FIELD!,"74,405"
Voya Itl Hi Div Eqty Inc (XNYS:IID),IID,,$5.35,-0.01,-0.19%,44539574,11957,$5.43,$2.52,10.16,#FIELD!,"67,515"
Morg Stan India Inv (XNYS:IIF),IIF,,$23.74,0.2207,0.94%,316162760,17444,$24.01,$10.35,1.09,#FIELD!,"28,192"
Invesco Val Muni Inc (XNYS:IIM),IIM,,$15.63,-0.02,-0.13%,735493376,91944,$16.16,$10.56,#FIELD!,#FIELD!,"124,668"
"INNOVATIVE INDUSTRIAL PROPERTIES, INC. (XNYS:IIPR)",IIPR,Finance,$193.86,-2.24,-1.14%,4638355814,159634,$222.08,$40.21,1.53,60.95,"465,987"
IMAX CORPORATION (XNYS:IMAX),IMAX,Miscellaneous,$21.52,0.08,0.37%,1266692400,292247,$22.02,$6.01,1.86,0,"859,121"
AEA-Bridges Impact Corp. (XNYS:IMPX),IMPX,Finance,$10.18,-0.24,-2.30%,524270000,168045,$11.42,$9.65,#FIELD!,0,"369,471"
IHS Markit Ltd. (XNYS:INFO),INFO,Technology,$91.77,-0.75,-0.81%,36395240682,582396,$101.45,$44.81,0.95,42.78,"2,659,100"
INFOSYS LIMITED (XNYS:INFY),INFY,Technology,$18.05,0.39,2.21%,76596828272,5944853,$19.07,$6.76,0.88,30.9,"7,702,697"
ING Groep NV (XNYS:ING),ING,Finance,$11.33,0.225,2.03%,44168632500,3516524,$11.45,$4.52,1.98,14.2,"3,826,802"
INGREDION INCORPORATED (XNYS:INGR),INGR,Consumer Non-Durables,$89.50,0.205,0.23%,6006056256,282463,$93.25,$59.11,0.83,17.36,"648,119"
"SUMMIT HOTEL PROPERTIES, INC. (XNYS:INN)",INN,Consumer Services,$10.19,-0.285,-2.72%,1076643996,440400,$10.85,$2.32,2.49,0,"1,608,143"
Insight Select Income (XNYS:INSI),INSI,,$21.08,0.05,0.24%,225767538,24485,$22.83,$15.75,1.23,#FIELD!,"15,197"
"INSPIRE MEDICAL SYSTEMS, INC. (XNYS:INSP)",INSP,Health Care,$244.77,-4.48,-1.80%,6640259345,76856,$252.25,$40.53,#FIELD!,0,"231,157"
"International Seaways, Inc. (XNYS:INSW)",INSW,Consumer Services,$17.71,0.077,0.44%,495526978,102522,$29.30,$12.44,0.32,3.99,"187,519"
WORLD FUEL SERVICES CORPORATION (XNYS:INT),INT,Energy,$32.92,0.65,2.01%,2090485182,194825,$36.76,$18.36,1.35,18.93,"381,075"
INVITATION HOMES INC. (XNYS:INVH),INVH,Finance,$29.36,0.035,0.12%,16650755781,1341701,$31.23,$15.64,0.8,83.28,"3,407,580"
ION GEOPHYSICAL CORPORATION (XNYS:IO),IO,Energy,$3.16,0.04,1.28%,56782084,520799,$5.35,$1.13,3.39,0,"1,888,622"
INTERNATIONAL PAPER COMPANY (XNYS:IP),IP,Basic Industries,$52.16,0.395,0.76%,20503023237,1336090,$53.39,$26.38,1.04,42.51,"3,378,944"
"THE INTERPUBLIC GROUP OF COMPANIES, INC. (XNYS:IPG)",IPG,Technology,$26.91,0.12,0.45%,10513143069,1911964,$27.28,$11.63,1.01,30.13,"4,172,761"
"INTREPID POTASH, INC. (XNYS:IPI)",IPI,Basic Industries,$31.56,0.924,3.02%,419616803,220278,$35.61,$6.00,2.16,0,"212,970"
Social Capital Hedosophia Holdings Corp. IV (XNYS:IPOD),IPOD,Finance,$13.95,-0.73,-4.97%,802125000,835349,$18.31,$10.51,#FIELD!,0,"2,075,980"
Social Capital Hedosophia Holdings Corp. V (XNYS:IPOE),IPOE,Finance,$19.01,-0.33,-1.71%,1912881250,2253996,$28.26,$10.10,#FIELD!,0,"9,622,743"
SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI (XNYS:IPOF),IPOF,Finance,$13.22,-0.67,-4.82%,1900375000,2711366,$17.81,$10.08,#FIELD!,0,"6,287,849"
InterPrivate Acquisition Corp (XNYS:IPV),IPV,Capital Goods,$15.59,0.33,2.16%,484155245,610333,$21.83,$9.15,#FIELD!,346.03,"1,296,542"
Invesco Qual Muni Inc (XNYS:IQI),IQI,,$12.79,0.125,0.99%,676119345,129730,$13.24,$9.00,#FIELD!,#FIELD!,"104,818"
IQVIA HOLDINGS INC (XNYS:IQV),IQV,Health Care,$193.63,-0.76,-0.39%,37037795408,303190,$199.99,$81.79,1.42,136.31,"1,037,079"
INGERSOLL RAND INC. (XNYS:IR),IR,Technology,$47.31,-0.15,-0.32%,19805281644,895922,$48.92,$17.01,1.55,0,"2,204,757"
New Ireland Fund (XNYS:IRL),IRL,,$10.84,0.07,0.65%,53319879,1963,$11.53,$4.34,#FIELD!,#FIELD!,"10,988"
IRON MOUNTAIN INCORPORATED (XNYS:IRM),IRM,Consumer Services,$35.17,0.44,1.27%,10143774132,1012945,$41.32,$21.00,0.79,29.29,"4,976,584"
Voya Nat Res Eq Inc (XNYS:IRR),IRR,,$3.08,0.015,0.49%,68719762,11263,$3.47,$1.35,0.87,#FIELD!,"111,017"
IRSA INVESTMENTS AND REPRESENTATIONS INC. (XNYS:IRS),IRS,Consumer Services,$4.05,-0.04,-0.98%,234363966,5478,$5.51,$2.52,1.17,0.78,"42,636"
"INDEPENDENCE REALTY TRUST, INC (XNYS:IRT)",IRT,Consumer Services,$14.25,-0.07,-0.49%,1451461495,206794,$14.75,$6.86,0.9,93.51,"527,107"
PGIM High Yield Bond (XNYS:ISD),ISD,,$15.67,-0.01,-0.06%,521132881,44868,$15.70,$8.99,#FIELD!,#FIELD!,"101,869"
"GARTNER, INC. (XNYS:IT)",IT,Consumer Services,$183.69,-0.5,-0.27%,16297261152,278832,$191.66,$76.91,1.63,62.14,"547,716"
Itau Corpbanca (XNYS:ITCB),ITCB,Finance,$5.25,-0.15,-2.78%,1793423657,196174,$7.38,$3.01,1.18,0,"93,648"
INTEGER HOLDINGS CORPORATION (XNYS:ITGR),ITGR,Miscellaneous,$91.50,-0.92,-1.00%,3015568703,100707,$93.71,$46.01,1.37,39.6,"186,851"
ITT INC. (XNYS:ITT),ITT,Capital Goods,$85.83,-0.51,-0.59%,7424295000,247969,$86.99,$35.41,1.58,133.42,"450,860"
Itau Unibanco Holding SA (XNYS:ITUB),ITUB,Finance,$4.54,0.105,2.37%,44272742023,41445570,$7.18,$3.48,0.82,0,"41,302,366"
ILLINOIS TOOL WORKS INC. (XNYS:ITW),ITW,Technology,$207.07,0.63,0.31%,65571254799,359412,$224.69,$115.94,1.1,31.17,"1,086,805"
INVACARE CORPORATION (XNYS:IVC),IVC,Health Care,$9.32,-0.17,-1.79%,320776179,64975,$10.94,$3.90,0.84,0,"230,451"
Ivy High Income Opp (XNYS:IVH),IVH,,$13.52,-0.03,-0.22%,224029577,26898,$14.00,$7.80,#FIELD!,#FIELD!,"55,946"
INVESCO MORTGAGE CAPITAL INC. (XNYS:IVR),IVR,Consumer Services,$3.99,0.07,1.79%,920980211,3753845,$15.10,$1.56,1.4,0,"12,730,726"
INVESCO LTD. (XNYS:IVZ),IVZ,Finance,$24.34,-0.4,-1.62%,11173818857,2992442,$25.12,$6.38,1.29,21.81,"4,435,977"
ORIX CORPORATION (XNYS:IX),IX,Finance,$85.54,0.24,0.28%,20863079743,9185,$89.01,$52.65,0.97,11.36,"23,754"
JACOBS ENGINEERING GROUP INC. (XNYS:J),J,Basic Industries,$114.81,-0.37,-0.32%,14935192144,274845,$120.44,$59.29,0.88,34.94,"709,784"
"J. Alexander's Holdings, Inc. (XNYS:JAX)",JAX,Consumer Services,$8.98,-0.06,-0.66%,135329291,13991,$9.21,$3.03,1.52,0,"45,949"
JBG SMITH PROPERTIES (XNYS:JBGS),JBGS,Consumer Services,$32.08,0.16,0.50%,4221755525,130632,$39.59,$21.88,0.9,0,"352,273"
Goldman Sachs Capital I Securities-Backed Series 2004-6 Trust (XNYS:JBK),JBK,Finance,$29.25,0,0.00%,0,5,$31.50,$20.50,#FIELD!,0,"1,948"
JABIL INC. (XNYS:JBL),JBL,Technology,$44.64,-0.52,-1.15%,6703856595,217068,$46.18,$17.63,1.37,33.18,"895,158"
JOHN BEAN TECHNOLOGIES CORPORATION (XNYS:JBT),JBT,Technology,$145.93,-4.69,-3.11%,4630242302,40402,$151.64,$56.17,1.64,44.4,"180,858"
Nuveen Core Equity Alpha (XNYS:JCE),JCE,,$14.62,0.085,0.59%,234267942,138325,$14.73,$8.05,25.43,#FIELD!,"42,065"
JOHNSON CONTROLS INTERNATIONAL PLC (XNYS:JCI),JCI,Consumer Services,$57.20,0.02,0.04%,41090838818,1455849,$57.58,$22.78,1.1,52.72,"4,435,726"
Nuveen Crdt Opps 2022 TT (XNYS:JCO),JCO,,$8.34,-0.0049,-0.06%,231220677,13749,$9.86,$5.41,#FIELD!,#FIELD!,"59,076"
Nuveen Dvs Div & Income (XNYS:JDD),JDD,,$9.14,-0.0101,-0.11%,180391765,38362,$10.44,$5.00,0.99,#FIELD!,"58,119"
Just Energy Group Inc. (XNYS:JE),JE,Public Utilities,$3.91,-0.09,-2.25%,187880696,2766412,$34.65,$3.41,1.29,0,"5,751,597"
JEFFERIES FINANCIAL GROUP INC. (XNYS:JEF),JEF,Finance,$29.87,-0.13,-0.43%,7467139111,681494,$30.48,$11.20,1.48,11.08,"3,076,084"
"JELD-WEN HOLDING, INC. (XNYS:JELD)",JELD,Basic Industries,$28.47,-2.13,-6.96%,2870796678,1455908,$31.24,$6.06,2.57,33.99,"407,056"
Nuveen EM Dbt 2022 Tg Tr (XNYS:JEMD),JEMD,,$7.80,-0.05,-0.64%,111113051,3266,$8.94,$5.05,1.14,#FIELD!,"27,648"
Aberdeen Japan Equity (XNYS:JEQ),JEQ,,$9.20,0.0124,0.14%,123390712,115,$10.03,$5.00,#FIELD!,#FIELD!,"16,664"
Nuveen Float Rate Inc (XNYS:JFR),JFR,,$9.49,0.07,0.74%,540156261,539789,$9.97,$4.73,1.55,#FIELD!,"733,461"
Nuveen Global High Inc (XNYS:JGH),JGH,,$15.45,-0.01,-0.07%,358090722,17439,$16.15,$9.24,#FIELD!,#FIELD!,"31,126"
Nuveen CI 2023 Target (XNYS:JHAA),JHAA,,$9.90,-0.01,-0.10%,77461798,744,$11.39,$5.90,#FIELD!,#FIELD!,"9,927"
Nuveen CI Nov 2021 Tgt (XNYS:JHB),JHB,,$9.33,0.0001,0.00%,521553047,60713,$9.99,$7.03,#FIELD!,#FIELD!,"140,480"
JANUS HENDERSON GROUP PLC (XNYS:JHG),JHG,Finance,$30.02,-0.14,-0.46%,5173946670,590965,$35.23,$11.81,1.41,34.62,"2,077,539"
J Hancock Investors (XNYS:JHI),JHI,,$17.81,0.04,0.23%,155072115,8974,$18.32,$8.94,1.38,#FIELD!,"12,462"
J Hancock Income Sec (XNYS:JHS),JHS,,$15.84,0.13,0.83%,184481891,5992,$16.96,$10.30,#FIELD!,#FIELD!,"14,667"
JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY (XNYS:JHX),JHX,Capital Goods,$30.20,0.58,1.96%,13413858168,18912,$31.78,$8.78,1.26,88.96,"26,523"
"JUNIPER INDUSTRIAL HOLDINGS, INC. (XNYS:JIH)",JIH,Finance,$13.15,-0.41,-3.02%,567093750,346465,$14.88,$9.10,#FIELD!,0,"870,813"
"J.JILL, INC. (XNYS:JILL)",JILL,Consumer Non-Durables,$5.29,0.155,3.02%,50840907,370100,$8.67,$1.55,1.55,0,"889,229"
"JinkoSolar Holding Co., Ltd. (XNYS:JKS)",JKS,Technology,$51.97,-1.44,-2.70%,2353921333,855383,$90.20,$11.42,1.06,17.6,"2,660,597"
JONES LANG LASALLE INCORPORATED (XNYS:JLL),JLL,Finance,$179.87,0.95,0.53%,9193294200,360433,$180.55,$78.29,1.43,23.28,"526,428"
Nuveen Mortgage and Inc (XNYS:JLS),JLS,,$20.53,0.18,0.89%,112657143,4735,$22.64,$13.82,-1.46,#FIELD!,"18,243"
Jumia Technologies AG (XNYS:JMIA),JMIA,Consumer Services,$46.09,-0.93,-1.98%,4111073092,3669780,$69.89,$2.15,#FIELD!,0,"8,133,550"
Nuveen Multi-Market Inc (XNYS:JMM),JMM,,$7.21,-0.091,-1.25%,68214081,1576,$7.50,$5.20,-0.89,#FIELD!,"9,435"
JMP Group LLC (XNYS:JMP),JMP,Finance,$5.76,0.0593,1.04%,113976547,54356,$8.99,$2.15,0.98,0,"1,050,603"
JOHNSON & JOHNSON (XNYS:JNJ),JNJ,Health Care,$159.46,0.1376,0.09%,4.19E+11,3894605,$173.65,$109.16,0.72,29.5,"9,121,079"
"JUNIPER NETWORKS, INC. (XNYS:JNPR)",JNPR,Technology,$24.03,0.055,0.23%,7884334678,1306941,$27.83,$15.20,0.83,31.08,"5,465,527"
THE ST. JOE COMPANY (XNYS:JOE),JOE,Consumer Services,$48.73,-2.05,-4.04%,2869346613,233299,$57.55,$15.32,1.15,66.14,"351,857"
Japan Small Cap (XNYS:JOF),JOF,,$9.08,-0.0508,-0.56%,257249081,57891,$9.90,$5.00,#FIELD!,#FIELD!,"67,907"
Jupai Holdings Limited (XNYS:JP),JP,Consumer Services,$2.65,-0.08,-2.93%,89342940,31696,$4.97,$0.88,1.59,0,"506,389"
Nuveen Pref & Inc Opps (XNYS:JPC),JPC,,$9.16,0.01,0.11%,946733165,132842,$10.21,$4.62,#FIELD!,#FIELD!,"350,037"
Nuveen Pref & Inc Term (XNYS:JPI),JPI,,$24.10,0.17,0.71%,548549523,27771,$24.68,$12.29,#FIELD!,#FIELD!,"57,468"
JPMORGAN CHASE & CO. (XNYS:JPM),JPM,Finance,$150.70,0.198,0.13%,4.60E+11,8380050,$154.90,$76.91,1.22,16.95,"12,632,460"
Nuveen Pref & Inc Sec (XNYS:JPS),JPS,,$9.41,0.0399,0.43%,1917548180,336002,$9.86,$4.55,#FIELD!,#FIELD!,"485,478"
Nuveen Pref & I 2022 Trm (XNYS:JPT),JPT,,$24.05,-0.0531,-0.22%,164475440,8748,$25.75,$13.12,#FIELD!,#FIELD!,"10,244"
Nuveen Credit Strat Inc (XNYS:JQC),JQC,,$6.48,-0.005,-0.08%,878070153,512122,$7.38,$3.75,1.29,#FIELD!,"816,086"
Nuveen Rl Asst Inc & Gro (XNYS:JRI),JRI,,$14.50,-0.03,-0.21%,398303110,82145,$17.61,$6.37,#FIELD!,#FIELD!,"133,237"
Nuveen Float Rt Inc Opp (XNYS:JRO),JRO,,$9.31,0.0669,0.72%,377313062,127066,$9.77,$5.33,1.54,#FIELD!,"432,992"
Nuveen Real Estate Inc (XNYS:JRS),JRS,,$9.16,-0.08,-0.87%,264655034,62428,$10.33,$4.50,1.18,#FIELD!,"97,993"
Nuveen Sht Dur Crdt Opp (XNYS:JSD),JSD,,$13.90,0.04,0.29%,140190507,14956,$14.80,$7.92,1.68,#FIELD!,"31,732"
JIANPU TECHNOLOGY INC. (XNYS:JT),JT,Technology,$2.37,-0.05,-2.07%,50088023,230650,$11.92,$2.26,0.78,0,"360,555"
Nuveen Tx-Adv TR Strat (XNYS:JTA),JTA,,$10.35,0.07,0.68%,143356784,61260,$10.78,$4.67,1.26,#FIELD!,"81,182"
Nuveen Tx-Adv Div Growth (XNYS:JTD),JTD,,$14.61,0.0731,0.50%,211661109,24343,$16.40,$7.30,#FIELD!,#FIELD!,"52,859"
JW HOLDINGS CORPORATION (XKRX:096760),96760,,$51.44,-1.96,-3.67%,,120160," ?6,990.00 "," ?3,553.00 ",0.87,14.29,#FIELD!
JW HOLDINGS CORPORATION (XKRX:096760),96760,,$53.48,0,0.00%,,1," ?6,990.00 "," ?3,553.00 ",0.87,14.29,#FIELD!
"NORDSTROM, INC. (XNYS:JWN)",JWN,Consumer Services,$38.15,0.18,0.47%,6015626212,2257786,$42.22,$11.72,2.51,0,"4,263,964"
Jaws Acquisition Corp (XNYS:JWS),JWS,Health Care,$14.73,0.46,3.22%,1270462500,525130,$17.43,$9.95,#FIELD!,0,"1,136,460"
KELLOGG COMPANY (XNYS:K),K,Consumer Non-Durables,$57.42,0.51,0.90%,19749626858,1201655,$72.88,$52.66,0.64,15.3,"4,031,380"
KADANT INC. (XNYS:KAI),KAI,Technology,$178.05,-2.64,-1.46%,2049277158,16198,$183.95,$52.71,1.36,37.87,"42,795"
KAMAN CORPORATION (XNYS:KAMN),KAMN,Capital Goods,$50.12,-0.17,-0.34%,1387190937,77655,$59.80,$29.38,1.37,0,"156,714"
"KAR AUCTION SERVICES, INC. (XNYS:KAR)",KAR,Consumer Durables,$14.12,-0.19,-1.33%,1831392296,1333245,$20.85,$9.41,1.62,0,"2,890,118"
KB Financial Group Inc. (XNYS:KB),KB,Finance,$39.95,0.74,1.89%,15765641683,129840,$43.95,$20.93,0.82,5.29,"217,271"
KB HOME (XNYS:KBH),KBH,Capital Goods,$41.14,0.63,1.56%,4063072300,440189,$45.59,$9.82,1.8,12.96,"1,640,045"
"KBR, INC. (XNYS:KBR)",KBR,Basic Industries,$31.06,-0.43,-1.37%,4374607310,407171,$32.90,$12.00,1.34,0,"1,165,288"
KENON HOLDINGS LTD. (XNYS:KEN),KEN,Public Utilities,$29.06,-0.6557,-2.21%,1565727527,1919,$31.44,$9.63,1.79,4.84,"2,927"
KOREA ELECTRIC POWER CORPORATION (XNYS:KEP),KEP,Public Utilities,$10.22,-0.03,-0.29%,13121745734,64624,$12.98,$6.28,0.93,165.57,"171,255"
KIRBY CORPORATION (XNYS:KEX),KEX,Consumer Services,$64.09,-0.15,-0.23%,3850847650,127532,$66.25,$32.76,1.5,0,"486,960"
KEYCORP (XNYS:KEY),KEY,Finance,$20.73,-0.01,-0.05%,20083538101,2930211,$21.81,$7.45,1.57,16.55,"7,423,098"
"KEYSIGHT TECHNOLOGIES, INC. (XNYS:KEYS)",KEYS,Capital Goods,$142.76,-1.695,-1.17%,26564496366,322998,$155.50,$77.93,0.96,42.77,"1,587,577"
Korea Fund (XNYS:KF),KF,,$43.01,-0.34,-0.78%,216392729,1850,$44.90,$17.20,1.09,#FIELD!,"7,010"
KINGSWAY FINANCIAL SERVICES INC. (XNYS:KFS),KFS,Finance,$4.71,0.03,0.64%,106969135,1975,$5.50,$1.26,-0.33,0,"16,178"
KORN FERRY (XNYS:KFY),KFY,Technology,$61.76,-1.67,-2.63%,3334854720,184790,$65.31,$21.45,1.69,222.47,"361,778"
KINROSS GOLD CORPORATION (XNYS:KGC),KGC,Basic Industries,$6.51,0.315,5.09%,8185892000,13890116,$10.32,$2.72,1,5.82,"18,670,249"
KIMCO REALTY CORPORATION (XNYS:KIM),KIM,Consumer Services,$18.09,-0.485,-2.61%,7820674145,2255191,$19.44,$7.45,1.51,8.25,"5,532,146"
KKR Income Opportunities (XNYS:KIO),KIO,,$15.51,-0.01,-0.06%,315478286,58229,$15.75,$8.36,0.84,#FIELD!,"88,374"
